"YearStart","LocationAbbr","Class","Data_Value","Data_Value_Alt","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age(years)","Education","Gender","Income","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","Number_people"
2011,"AK","Obesity / Weight Status",29.2,29.2,25.2,33.5,735,"45 - 54",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","45 - 54","AGEYR","AGEYR4554",215
2011,"AK","Obesity / Weight Status",23.5,23.5,18.6,29.2,451,"25 - 34",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","25 - 34","AGEYR","AGEYR2534",106
2011,"AK","Obesity / Weight Status",29.5,29.5,24.5,35,562,"35 - 44",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","35 - 44","AGEYR","AGEYR3544",166
2011,"AK","Obesity / Weight Status",29.3,29.3,24.1,35,600,"65 or older",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","65 or older","AGEYR","AGEYR65PLUS",176
2011,"AK","Obesity / Weight Status",33.4,33.4,29.1,38,776,"55 - 64",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","55 - 64","AGEYR","AGEYR5564",260
2011,"AK","Obesity / Weight Status",19.8,19.8,13.4,28.4,212,"18 - 24",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Age (years)","18 - 24","AGEYR","AGEYR1824",42
2011,"AK","Obesity / Weight Status",28.8,28.8,21.4,37.6,245,NA,"Less than high school",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Education","Less than high school","EDU","EDUHS",71
2011,"AK","Obesity / Weight Status",22.1,22.1,19.1,25.5,1150,NA,"College graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Education","College graduate","EDU","EDUCOGRAD",255
2011,"AK","Obesity / Weight Status",33.1,33.1,28.8,37.7,981,NA,"High school graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Education","High school graduate","EDU","EDUHSGRAD",325
2011,"AK","Obesity / Weight Status",25.8,25.8,22.3,29.6,954,NA,"Some college or technical school",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Education","Some college or technical school","EDU","EDUCOTEC",247
2011,"AK","Obesity / Weight Status",28,28,24.9,31.3,1620,NA,NA,"Male",NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Gender","Male","GEN","MALE",454
2011,"AK","Obesity / Weight Status",26.7,26.7,23.9,29.7,1716,NA,NA,"Female",NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Gender","Female","GEN","FEMALE",459
2011,"AK","Obesity / Weight Status",24.5,24.5,18.3,32,397,NA,NA,NA,"$35,000 - $49,999",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","$35,000 - $49,999","INC","INC3550",98
2011,"AK","Obesity / Weight Status",26.9,26.9,23.5,30.7,1109,NA,NA,NA,"$75,000 or greater",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","$75,000 or greater","INC","INC75PLUS",299
2011,"AK","Obesity / Weight Status",32.2,32.2,23.1,42.9,224,NA,NA,NA,"$25,000 - $34,999",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","$25,000 - $34,999","INC","INC2535",73
2011,"AK","Obesity / Weight Status",30.2,30.2,24.1,37.2,377,NA,NA,NA,"$15,000 - $24,999",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","$15,000 - $24,999","INC","INC1525",114
2011,"AK","Obesity / Weight Status",27.8,27.8,23.3,32.9,524,NA,NA,NA,"$50,000 - $74,999",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","$50,000 - $74,999","INC","INC5075",146
2011,"AK","Obesity / Weight Status",22.7,22.7,17.5,28.8,434,NA,NA,NA,"Data not reported",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","Data not reported","INC","INCNR",99
2011,"AK","Obesity / Weight Status",33.6,33.6,25.4,42.9,271,NA,NA,NA,"Less than $15,000",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Income","Less than $15,000","INC","INCLESS15",92
2011,"AK","Obesity / Weight Status",30.9,30.9,25.7,36.6,477,NA,NA,NA,NA,"American Indian/Alaska Native","(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",148
2011,"AK","Obesity / Weight Status",35.5,35.5,22.7,50.9,63,NA,NA,NA,NA,"Other","(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Race/Ethnicity","Other","RACE","RACEOTH",23
2011,"AK","Obesity / Weight Status",31.5,31.5,20.4,45.1,84,NA,NA,NA,NA,"Hispanic","(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Race/Ethnicity","Hispanic","RACE","RACEHIS",27
2011,"AK","Obesity / Weight Status",25.9,25.9,23.6,28.2,2425,NA,NA,NA,NA,"Non-Hispanic White","(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",629
2011,"AK","Obesity / Weight Status",23.3,23.3,16.1,32.4,128,NA,NA,NA,NA,"2 or more races","(64.845079957001, -147.722059036)","OWS","OWS1","Q036","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",30
2011,"AL","Obesity / Weight Status",35.2,35.2,30.7,40,598,"25 - 34",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","25 - 34","AGEYR","AGEYR2534",211
2011,"AL","Obesity / Weight Status",38,38,34.5,41.5,1288,"45 - 54",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","45 - 54","AGEYR","AGEYR4554",490
2011,"AL","Obesity / Weight Status",35.5,35.5,31.6,39.6,865,"35 - 44",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","35 - 44","AGEYR","AGEYR3544",308
2011,"AL","Obesity / Weight Status",27.1,27.1,24.9,29.3,2521,"65 or older",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","65 or older","AGEYR","AGEYR65PLUS",684
2011,"AL","Obesity / Weight Status",36.4,36.4,33.4,39.5,1676,"55 - 64",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","55 - 64","AGEYR","AGEYR5564",611
2011,"AL","Obesity / Weight Status",16.3,16.3,12.6,20.9,356,"18 - 24",NA,NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Age (years)","18 - 24","AGEYR","AGEYR1824",59
2011,"AL","Obesity / Weight Status",32.8,32.8,30.2,35.6,2402,NA,"High school graduate",NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Education","High school graduate","EDU","EDUHSGRAD",788
2011,"AL","Obesity / Weight Status",33.6,33.6,29.9,37.6,1153,NA,"Less than high school",NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Education","Less than high school","EDU","EDUHS",388
2011,"AL","Obesity / Weight Status",26.4,26.4,23.7,29.3,1812,NA,"College graduate",NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Education","College graduate","EDU","EDUCOGRAD",479
2011,"AL","Obesity / Weight Status",33.8,33.8,31,36.8,1925,NA,"Some college or technical school",NA,NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Education","Some college or technical school","EDU","EDUCOTEC",651
2011,"AL","Obesity / Weight Status",31.8,31.8,30,33.6,4723,NA,NA,"Female",NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Gender","Female","GEN","FEMALE",1502
